Modification Request,Solution,Version Name,Build Time
"Cập nhật logic cột Y (Số ngày không nhập): nếu hiệu số ngày > 90 hoặc không có giá trị số (None, '>90') thì điền '>90'. Đóng gói tool hoàn chỉnh thành bản di động.",Sửa hàm compute_row trong tool_do_du_lieu.py. Chuẩn bị file batch chạy cục bộ và cấu hình pyinstaller đóng gói thành file exe di động.,v1.0.1,2026-07-06 22:43:09
"Sửa lỗi layout che khuất nút bấm (footer) của giao diện, thêm định dạng tự động dấu phẩy tiền tệ khi nhập số tiền tham chiếu, tối ưu hóa file bat tránh treo do proxy.",Đảo ngược thứ tự pack của footer và content. Bind sự kiện KeyRelease/FocusOut để định dạng tiền tệ và loại bỏ dấu phẩy trước khi tính toán. Cập nhật các file bat và đồng bộ thư mục Portable.,v1.0.2,2026-07-06 22:52:56
Sửa lỗi kết quả lọc bị trống trên một số tệp RSM (như Lê Duy Đức.xlsx) do lệch cột (thiếu cột map ở đầu). Đóng gói và cập nhật bản portable.,"Nâng cấp tool_do_du_lieu.py để tự động dò tìm vị trí cột dựa trên tiêu đề ở Row 2, chuẩn hóa dữ liệu đầu vào trước khi tính toán. Đồng bộ bản di động.",v1.0.3,2026-07-07 00:08:58
"Tối ưu hóa hiệu năng xử lý, đẩy nhanh tốc độ chạy tool lên gấp 5-6 lần. Đóng gói bản di động.","Nâng cấp tool_do_du_lieu.py sang kiến trúc xử lý 1 lượt (one-pass stream), tối ưu hóa việc chuyển đổi số và hạn chế đối tượng style openpyxl. Cập nhật bản portable.",v1.1.0,2026-07-07 00:19:14
"Sửa lỗi tool không khởi chạy được khi click đúp file batch hoặc dùng pythonw.exe do lỗi AttributeError của sys.stdout.reconfigure trong môi trường không console.","Thêm kiểm tra sys.stdout is not None trước khi reconfigure encoding. Cấu hình Chay_Tool.bat tự động fallback sang python_embed nếu không có python hệ thống.",v1.2.1,2026-07-07 10:55:00
"Cập nhật logic xử lý ô trống cột Last GR và Last Sale: nếu để trống thì điền '>90' và áp dụng công thức tính toán tiếp theo.","Thay đổi logic compute_row nhận diện ô None/trống làm '>90', đồng thời cập nhật ghi đè '>90' cho cột W và X tương ứng trong file Excel đầu ra.",v1.2.2,2026-07-07 13:10:00
Tích hợp giao diện Dashboard tương tác ngoại tuyến (Offline HTML Dashboard) với đầy đủ các bộ lọc và biểu đồ phân tích.,Bổ sung template HTML và viết logic tiêm dữ liệu JSON thô (rawData) trực tiếp vào tệp HTML đầu ra.,v1.3.0,2026-07-08 22:00:00
"Hỗ trợ tự động phân tích dữ liệu đa luồng cho Store List nhiều sheet, chuyển đổi vai trò ASM/RSM sang GĐV/GĐM/Siêu thị.","Đọc nhiều sheet Store List, ánh xạ động vai trò quản lý. Loại bỏ dữ liệu rác không có MCH2/MCH3.",v1.4.0,2026-07-08 23:30:00
Sửa lỗi crash NoneType dữ liệu trống và lỗi hiển thị bộ lọc Siêu thị trong dashboard.,Thêm kiểm tra an toàn NoneType khi làm sạch dữ liệu. Điều chỉnh điều kiện lọc trong template HTML.,v1.4.1,2026-07-09 00:30:00
Đồng bộ nhãn ngày cập nhật tiêu đề Dashboard trùng khớp ngày mốc Y1.,Truyền biến ngày mốc Y1 được chọn vào hàm sinh template HTML thay vì lấy ngày chạy hiện tại.,v1.4.2,2026-07-09 08:30:00
"Cài mặc định giao diện Sáng cho Dashboard và đổi màu biểu đồ sang pastel dịu, tăng tương phản chữ số.","Thêm lớp light mặc định vào body và đổi mã màu Hex sang hệ màu Pastel dịu, bổ sung CSS tăng độ sắc nét cho số liệu.",v1.4.3,2026-07-09 09:00:00
Khắc phục nút bấm mờ và khó nhìn ở giao diện sáng.,Đổi nền xám tối của các nút sang nền Pastel Lavender nhạt (#eef2ff) và chữ Xanh Indigo đậm (#4f46e5).,v1.4.4,2026-07-09 09:20:00
Sửa lỗi Tooltip số tiền bị che khuất ở đỉnh các cột biểu đồ cao. Sửa lỗi cú pháp Batch script khi chạy trong thư mục có khoảng trắng.,Giới hạn chiều cao tối đa của các cột biểu đồ xuống 30px để tạo khoảng không hiển thị Tooltip đầy đủ. Bọc dấu nháy và sửa ký tự ngoặc đơn trong tệp .bat.,v1.4.5,2026-07-09 10:10:00
